Song, 117, 0.0131296
lo, 117, 0.0131296
presence, 116, 0.0130174
smite, 116, 0.0130174
believed, 116, 0.0130174
sister, 116, 0.0130174
suburbs, 115, 0.0129052
eye, 114, 0.0127929
open, 114, 0.0127929
mayest, 114, 0.0127929
hearts, 113, 0.0126807
chariots, 113, 0.0126807
firstborn, 113, 0.0126807
tribes, 113, 0.0126807
leave, 112, 0.0125685
52, 112, 0.0125685
fine, 112, 0.0125685
vain, 112, 0.0125685
bless, 112, 0.0125685
rock, 111, 0.0124563
horses, 111, 0.0124563
flock, 111, 0.0124563
slay, 110, 0.0123441
heads, 110, 0.0123441
Hear, 110, 0.0123441
enemy, 110, 0.0123441
desire, 110, 0.0123441
prayer, 109, 0.0122318
spread, 109, 0.0122318
sweet, 108, 0.0121196
followed, 108, 0.0121196
alone, 108, 0.0121196
depart, 108, 0.0121196
Absalom, 108, 0.0121196
worship, 108, 0.0121196
dust, 108, 0.0121196
cloud, 107, 0.0120074
entered, 107, 0.0120074
bullock, 107, 0.0120074
whither, 107, 0.0120074
generation, 107, 0.0120074
present, 106, 0.0118952
trouble, 106, 0.0118952
possess, 106, 0.0118952
became, 106, 0.0118952
covered, 105, 0.011783
wherewith, 105, 0.011783
better, 105, 0.011783
Yea, 105, 0.011783
buried, 105, 0.011783
shut, 105, 0.011783
Philippians, 105, 0.011783
beloved, 105, 0.011783
eaten, 105, 0.011783
beginning, 105, 0.011783
gospel, 104, 0.0116707
fight, 104, 0.0116707
wait, 104, 0.0116707
Also, 104, 0.0116707
Jeroboam, 104, 0.0116707
saved, 104, 0.0116707
knoweth, 104, 0.0116707
linen, 104, 0.0116707
possession, 104, 0.0116707
bound, 104, 0.0116707
garments, 103, 0.0115585
lion, 103, 0.0115585
Neither, 103, 0.0115585
oxen, 102, 0.0114463
corn, 102, 0.0114463
morrow, 102, 0.0114463
rain, 102, 0.0114463
idols, 101, 0.0113341
image, 101, 0.0113341
charge, 101, 0.0113341
honour, 101, 0.0113341
clothes, 101, 0.0113341
Gilead, 101, 0.0113341
prepared, 101, 0.0113341
utterly, 101, 0.0113341
teach, 101, 0.0113341
remember, 101, 0.0113341
still, 101, 0.0113341
prince, 100, 0.0112219
minister, 100, 0.0112219
coming, 100, 0.0112219
shame, 100, 0.0112219
nigh, 100, 0.0112219
wrought, 100, 0.0112219
sit, 100, 0.0112219
Esau, 100, 0.0112219
ready, 100, 0.0112219
portion, 100, 0.0112219
perfect, 99, 0.0111097
bones, 99, 0.0111097
iron, 98, 0.0109974
sore, 98, 0.0109974
loved, 98, 0.0109974
seeing, 98, 0.0109974
anointed, 98, 0.0109974
Egyptians, 98, 0.0109974
burned, 98, 0.0109974
Ruth, 98, 0.0109974
curse, 98, 0.0109974
plague, 98, 0.0109974
flee, 98, 0.0109974
tent, 98, 0.0109974
small, 97, 0.0108852
names, 97, 0.0108852
goats, 97, 0.0108852
everlasting, 97, 0.0108852
shekels, 96, 0.010773
doeth, 96, 0.010773
liveth, 96, 0.010773
riches, 96, 0.010773
Even, 96, 0.010773
famine, 96, 0.010773
pure, 96, 0.010773
command, 96, 0.010773
saints, 96, 0.010773
consumed, 96, 0.010773
Colossians, 95, 0.0106608
ought, 95, 0.0106608
foot, 95, 0.0106608
thither, 95, 0.0106608
angels, 94, 0.0105486
Ahab, 94, 0.0105486
mind, 94, 0.0105486
stead, 94, 0.0105486
hour, 94, 0.0105486
bow, 94, 0.0105486
caused, 94, 0.0105486
Joel, 93, 0.0104363
going, 92, 0.0103241
sing, 92, 0.0103241
committed, 92, 0.0103241
ask, 92, 0.0103241
threescore, 92, 0.0103241
remnant, 92, 0.0103241
top, 91, 0.0102119
Ammon, 91, 0.0102119
bed, 91, 0.0102119
ram, 91, 0.0102119
removed, 91, 0.0102119
Canaan, 91, 0.0102119
destruction, 90, 0.0100997
ass, 90, 0.0100997
Ghost, 90, 0.0100997
prison, 90, 0.0100997
just, 90, 0.0100997
pillars, 89, 0.00998747
breadth, 89, 0.00998747
glad, 89, 0.00998747
sound, 88, 0.00987525
noise, 88, 0.00987525
alive, 88, 0.00987525
pit, 88, 0.00987525
Surely, 88, 0.00987525
His, 88, 0.00987525
sick, 88, 0.00987525
wherefore, 87, 0.00976303
Pharisees, 87, 0.00976303
suffer, 87, 0.00976303
reproach, 87, 0.00976303
Give, 87, 0.00976303
get, 87, 0.00976303
understand, 87, 0.00976303
company, 86, 0.00965081
hate, 86, 0.00965081
ruler, 86, 0.00965081
early, 86, 0.00965081
increase, 86, 0.00965081
greatly, 86, 0.00965081
rod, 86, 0.00965081
garment, 86, 0.00965081
Edom, 86, 0.00965081
lift, 85, 0.00953859
never, 85, 0.00953859
Jehoshaphat, 85, 0.00953859
declare, 85, 0.00953859
fast, 85, 0.00953859
raised, 85, 0.00953859
drew, 85, 0.00953859
carry, 85, 0.00953859
wash, 85, 0.00953859
poured, 84, 0.00942637
last, 84, 0.00942637
fourth, 84, 0.00942637
vanity, 84, 0.00942637
By, 84, 0.00942637
army, 82, 0.00920193
pitched, 82, 0.00920193
sold, 82, 0.00920193
fulfilled, 82, 0.00920193
trespass, 82, 0.00920193
taught, 81, 0.00908972
hearkened, 81, 0.00908972
continually, 81, 0.00908972
atonement, 81, 0.00908972
tenth, 81, 0.00908972
rich, 81, 0.00908972
blind, 81, 0.00908972
lambs, 81, 0.00908972
thought, 81, 0.00908972
sleep, 80, 0.0089775
write, 80, 0.0089775
eight, 80, 0.0089775
heed, 80, 0.0089775
abroad, 80, 0.0089775
flocks, 80, 0.0089775
matter, 80, 0.0089775
bringeth, 79, 0.00886528
faithful, 79, 0.00886528
messengers, 79, 0.00886528
true, 79, 0.00886528
sacrifices, 79, 0.00886528
vision, 79, 0.00886528
reward, 79, 0.00886528
fallen, 79, 0.00886528
prophesy, 79, 0.00886528
healed, 79, 0.00886528
labour, 78, 0.00875306
Shall, 78, 0.00875306
likewise, 78, 0.00875306
neighbour, 78, 0.00875306
souls, 78, 0.00875306
shewed, 78, 0.00875306
sware, 78, 0.00875306
rulers, 78, 0.00875306
remain, 78, 0.00875306
knowest, 78, 0.00875306
bowed, 78, 0.00875306
Woe, 77, 0.00864084
